ID_Supabase;SKU;Nombre;Gama;Subcategoria;Peso (kg/g);PVP;Precio Base (PVD);Ruta Foto Actual;Foto Correcta?;Ruta CORRECTA de Foto
6e19d8a8-62ff-4212-85b6-9266f01611d6;AM-085;AMANOVA Adult Mini Digest Divine Rabbit 800Gr;Grain Free;Alimentación seca;800G;10.63;6.35;public/images/productos/AM-085.jpg;;
a027fbae-58d1-437d-aaf4-6261f0ca3819;AM-086;AMANOVA Adult Mini Digestive Divi Rabbit&Calabaza 2Kg;Grain Free;Alimentación seca;2KG;22.28;13.31;public/images/productos/AM-086.jpg;;
fbfd3b8b-8af6-4a00-950c-89acc2ea5a94;AM-087;AMANOVA Adult Mini Digestive Divi Rabbit&Calabaza 7Kg;Grain Free;Alimentación seca;7KG;65.0;38.83;public/images/productos/AM-087.jpg;;
5e9076ad-7217-4fea-8f18-ac54d43e72de;AM-088;AMANOVA Adult Mini Exigent Iberian Pork & Calabaza 2Kg;Grain Free;Alimentación seca;2KG;19.37;11.57;public/images/productos/AM-088.jpg;;
be0641d6-2ebb-4e80-a2f7-77b9aad91d2c;AM-089;AMANOVA Adult Mini Exigent Iberian Pork & Calabaza 7Kg;Grain Free;Alimentación seca;7KG;56.26;33.61;public/images/productos/AM-089.jpg;;
2b0c19e2-f4c9-4828-9aaf-13eebf9d7e3d;AM-090;AMANOVA Adult Mini Exigent Iberian Pork 800Gr;Grain Free;Alimentación seca;800G;9.17;5.48;public/images/productos/AM-090.jpg;;
6bebe37e-6999-4c2a-8725-b4331be01d5f;AM-091;AMANOVA Adult Mini Exquisite Chicken & Quinoa 2Kg;Low Grain;Alimentación seca;2KG;16.46;9.83;public/images/productos/AM-091.jpg;;
e2291dd3-8347-431b-8063-389bd205ee43;AM-092;AMANOVA Adult Mini Exquisite Chicken & Quinoa 7Kg;Low Grain;Alimentación seca;7KG;45.58;27.23;public/images/productos/AM-092.jpg;;
5659494d-cc63-45eb-a294-12807e7d2eac;AM-093;AMANOVA Adult Mini Obesity Turkey Delight 2Kg;Low Grain;Alimentación seca;2KG;16.46;9.83;public/images/productos/AM-093.jpg;;
5e29f94e-9c84-42d9-868f-c0bda79fc5c8;AM-094;AMANOVA Adult Mini Obesity Turkey Delight 7Kg;Low Grain;Alimentación seca;7KG;52.38;31.29;public/images/productos/AM-094.jpg;;
551ed023-0cb9-4636-b722-dd3d8a7dbd7e;AM-095;AMANOVA Adult Mini Obesity Turkey Delight 800gr;Low Grain;Alimentación seca;800G;9.17;5.48;public/images/productos/AM-095.jpg;;
cfb4b056-af74-479d-8bfd-7811a912b33a;AM-096;AMANOVA Adult Mini Sensitive Delicious Lamb & Calabaza 2Kg;Grain Free;Alimentación seca;2KG;22.28;13.31;public/images/productos/AM-096.jpg;;
76df2d06-f8c7-4434-9db1-3805f9e8b5ed;AM-097;AMANOVA Adult Mini Sensitive Delicious Lamb & Calabaza 7Kg;Grain Free;Alimentación seca;7KG;64.03;38.25;public/images/productos/AM-097.jpg;;
150c3529-8f70-48d1-8279-8b620ec39b31;AM-098;AMANOVA Adult Mini Sensitive Delicious Lamb & Calabaza 800Gr;Grain Free;Alimentación seca;800G;10.63;6.35;public/images/productos/AM-098.jpg;;
ff25f831-6f08-4d2f-9084-5c9c7585541a;AM-099;AMANOVA Adult Mini Sensitive Salmon Deluxe & Calabaza 2Kg;Grain Free;Alimentación seca;2KG;20.34;12.15;public/images/productos/AM-099.jpg;;
e2d996cb-8fa6-46d4-9831-692c067bfb0d;AM-100;AMANOVA Adult Mini Sensitive Salmon Deluxe & Calabaza 7Kg;Grain Free;Alimentación seca;7KG;57.23;34.19;public/images/productos/AM-100.jpg;;
402838da-8c4d-49a3-a184-54fad8f2c229;AM-164;AMANOVA Adult Mini Sensitive Salmon Deluxe & Calabaza 800Gr;Ultra Premium Receta grain free;Alimentación seca;800G;10.15;6.06;public/images/productos/AM-164.jpg;;
dd692c6c-00c6-4377-8110-a6382058637c;AM-101;AMANOVA Adult Mobility Fish Delicacy & Quinoa 10Kg;Low Grain;Alimentación seca;10KG;67.91;40.57;public/images/productos/AM-101.jpg;;
16a2ec56-ac73-4ab8-bec6-a355a7b151c6;AM-102;AMANOVA Adult Mobility Fish Delicacy & Quinoa 2Kg;Low Grain;Alimentación seca;2KG;18.4;10.99;public/images/productos/AM-102.jpg;;
ae759de8-730e-4c2c-8bf5-73dd60f171b6;AM-103;AMANOVA Adult Obesity Turkey Delight & Quinoa 10Kg;Low Grain;Alimentación seca;10KG;58.20;34.77;public/images/productos/AM-103.jpg;;
ebe7152c-ef0b-453b-aac6-71167b8af71f;AM-104;AMANOVA Adult Obesity Turkey Delight & Quinoa 2Kg;Low Grain;Alimentación seca;2KG;15.49;9.25;public/images/productos/AM-104.jpg;;
057beeea-12da-471f-b152-4d5e08ae1de8;AM-105;AMANOVA Adult Sensitive Delicious Lamb & Calabaza 10Kg;Grain Free;Alimentación seca;10KG;73.74;44.05;public/images/productos/AM-105.jpg;;
824da423-5e9f-4e5b-b6c1-640f16e1d83a;AM-106;AMANOVA Adult Sensitive Delicious Lamb & Calabaza 2Kg;Grain Free;Alimentación seca;2KG;19.43;11.57;public/images/productos/AM-106.jpg;;
0d329263-1fca-4dc6-b32a-8dc9845e5cb0;AM-107;AMANOVA Adult Sensitive Salmon Deluxe & Calabaza 10Kg;Grain Free;Alimentación seca;10KG;67.91;40.57;public/images/productos/AM-107.jpg;;
8a83c10b-76da-41fa-b630-de0cde9765bf;AM-108;AMANOVA Adult Sensitive Salmon Deluxe & Calabaza 2Kg;Grain Free;Alimentación seca;2KG;20.34;12.15;public/images/productos/AM-108.jpg;;
05d51cd4-056b-48ff-a1a3-60934c72ac62;AM-109;AMANOVA Adult White Hair 2Kg;Grain Free;Alimentación seca;2KG;21.31;12.73;public/images/productos/AM-109.jpg;;
7d95fcca-9025-43a4-b7b4-41b98e273343;AM-110;AMANOVA Adult White Hair 7Kg;Grain Free;Alimentación seca;7KG;58.2;34.77;public/images/productos/AM-110.jpg;;
4b919033-837d-4e8b-bcc6-7f460dfe558f;AM-111;AMANOVA Adult White Hair 800Gr;Grain Free;Alimentación seca;800G;11.6;6.93;public/images/productos/AM-111.jpg;;
bc4df85a-86e9-4645-b609-acad5340d579;AM-013;AMANOVA Kitten Exquisite Chicken & Quinoa 1,5Kg;Low Grain;Alimentación seca;1,5KG;15.49;9.25;public/images/productos/AM-013.jpg;;
a396aaf1-9579-44b3-b4fe-2275d081b006;AM-014;AMANOVA Kitten Exquisite Chicken & Quinoa 300Gr;Low Grain;Alimentación seca;300G;4.81;2.87;public/images/productos/AM-014.jpg;;
acd36550-790a-4715-a41b-875c443a3215;AM-015;AMANOVA Kitten Exquisite Chicken & Quinoa 4Kg;Low Grain;Alimentación seca;4KG;30.53;18.24;public/images/productos/AM-015.jpg;;
54c61376-ff32-4040-b2bf-2ae362f82721;AM-112;AMANOVA Mini Mature Fish Delicacy 2Kg;Low Grain;Alimentación seca;2KG;19.37;11.57;public/images/productos/AM-112.jpg;;
90c442d0-bdd3-414b-92ea-10e59847ce63;AM-113;AMANOVA Mini Mature Fish Delicacy 500Gr;Low Grain;Alimentación seca;500G;7.72;4.61;public/images/productos/AM-113.jpg;;
48c9499b-f23b-4ace-abc0-b52916e3617e;AM-114;AMANOVA Mini Mature Fish Delicacy 7Kg;Low Grain;Alimentación seca;7KG;55.29;33.03;public/images/productos/AM-114.jpg;;
f6d49f75-afc7-4078-b2d2-c8b7d59ce7dd;AM-115;AMANOVA Puppy Digestive Divine Rabbit & Calabaza 2Kg;Grain Free;Alimentación seca;2KG;23.25;13.89;public/images/productos/AM-115.jpg;;
2faf5939-50d3-456a-b939-5c2b4b3722d2;AM-116;AMANOVA Puppy Digestive Divine Rabbit & Calabaza 7Kg;Grain Free;Alimentación seca;7KG;65.0;38.83;public/images/productos/AM-116.jpg;;
888e5653-5118-4351-9c49-44e2e45cfb97;AM-117;AMANOVA Puppy Large Exquisite Chicken & Quinoa 12Kg;Low Grain;Alimentación seca;12KG;70.83;42.31;public/images/productos/AM-117.jpg;;
43b19f9f-b9db-4183-9795-c3d172f7ddde;AM-118;AMANOVA Puppy Medium Exquisite Chicken & Quinoa 12Kg;Low Grain;Alimentación seca;12KG;70.83;42.31;public/images/productos/AM-118.jpg;;
f5dc5885-8324-4850-876c-b140625a7da4;AM-119;AMANOVA Puppy Medium Exquisite Chicken & Quinoa 2Kg;Low Grain;Alimentación seca;2KG;16.46;9.83;public/images/productos/AM-119.jpg;;
d4169cf7-110d-4f0b-9144-a7ef5ef87473;AM-120;AMANOVA Puppy Mini Exquisite Chicken & Quinoa 2Kg;Low Grain;Alimentación seca;2KG;16.46;9.83;public/images/productos/AM-120.jpg;;
e194e6a1-bd5e-4a7b-bf86-6f450867987b;AM-121;AMANOVA Puppy Mini Exquisite Chicken & Quinoa 500Gr;Low Grain;Alimentación seca;500G;6.75;4.03;public/images/productos/AM-121.jpg;;
c1dfdb67-941a-45f7-bfa6-fcd52a61c034;AM-122;AMANOVA Puppy Sensitive Salmon Deluxe & Calabaza 2Kg;Grain Free;Alimentación seca;2KG;21.31;12.73;public/images/productos/AM-122.jpg;;
10b633e0-2385-499a-aede-6545525bc90e;AM-123;AMANOVA Puppy Sensitive Salmon Deluxe & Calabaza 7Kg;Grain Free;Alimentación seca;7KG;58.2;34.77;public/images/productos/AM-123.jpg;;
16159c6f-a21a-4f1a-aecb-e9071a9eabba;AM-016;AMANOVA Sterilised Cat Delicious Lamb & Quinoa 1,5Kg;Low Grain;Alimentación seca;1,5KG;17.43;10.41;public/images/productos/AM-016.jpg;;
d2d60f24-0365-4d29-b5fd-5a1da8153512;AM-017;AMANOVA Sterilised Cat Delicious Lamb & Quinoa 300Gr;Low Grain;Alimentación seca;300G;4.81;2.87;public/images/productos/AM-017.jpg;;
e34b5a44-58c5-4651-8cf4-35905e42b6c4;AM-018;AMANOVA Sterilised Cat Delicious Lamb & Quinoa 4Kg;Low Grain;Alimentación seca;4KG;38.79;23.17;public/images/productos/AM-018.jpg;;
335ae45b-9610-48a4-ad4a-755ed83acd7f;AM-019;AMANOVA Sterilised Cat Exquisite Chicken & Quinoa 1,5K;Low Grain;Alimentación seca;1,5KG;16.46;9.83;public/images/productos/AM-019.jpg;;
06a4dbc0-3af4-4aa0-9fbc-0d9e763bd24c;AM-020;AMANOVA Sterilised Cat Exquisite Chicken & Quinoa 300G;Low Grain;Alimentación seca;300G;4.81;2.87;public/images/productos/AM-020.jpg;;
a1e5214a-5d28-43b1-bec2-4ab223750791;AM-021;AMANOVA Sterilised Cat Exquisite Chicken & Quinoa 6Kg;Low Grain;Alimentación seca;6KG;45.58;27.23;public/images/productos/AM-021.jpg;;
e8c558ef-8e2f-4739-9d4d-1d527d90b766;AM-022;AMANOVA Sterilised Cat Fish Delicacy & Calabaza 1,5Kg;Grain Free;Alimentación seca;1,5KG;17.43;10.41;public/images/productos/AM-022.jpg;;
a35f8304-5f02-4f9e-9a18-e1e73d93c1ab;AM-023;AMANOVA Sterilised Cat Fish Delicacy & Calabaza 300Gr;Grain Free;Alimentación seca;300G;4.81;2.87;public/images/productos/AM-023.jpg;;
0e357861-3b81-4f7a-9564-c0b845df0115;AM-024;AMANOVA Sterilised Cat Fish Delicacy & Calabaza 4Kg;Grain Free;Alimentación seca;4KG;37.82;22.59;public/images/productos/AM-024.jpg;;
c3846f9a-e346-4321-a861-8ec9cb9ae188;AM-025;AMANOVA Sterilised Cat Salmon Deluxe & Quinoa 1,5Kg;Low Grain;Alimentación seca;1,5KG;17.43;10.41;public/images/productos/AM-025.jpg;;
2afa62dc-a7b0-48c8-b77a-dafa020443f6;AM-026;AMANOVA Sterilised Cat Salmon Deluxe & Quinoa 300Gr;Low Grain;Alimentación seca;300G;4.81;2.87;public/images/productos/AM-026.jpg;;
47792a4f-9e52-4e6e-9015-7a7a7675a65b;AM-027;AMANOVA Sterilised Cat Salmon Deluxe & Quinoa 6Kg;Low Grain;Alimentación seca;6KG;51.41;30.71;public/images/productos/AM-027.jpg;;
0e297570-ffed-4318-923a-636d52d45d60;AM-124;AMANOVA Stick Dental Medium & Large 10X180Gr (Caja 10 Ud);Snacks;Snack;180G;38.3;22.9;public/images/productos/AM-124.jpg;;
51135377-5f26-4fec-97f3-edc8d1420d1f;AM-125;AMANOVA Stick Dental Medium & Large 180Gr (Unidad);Snacks;Snack;180G;3.83;2.29;public/images/productos/AM-125.jpg;;
7b5537fc-82e1-4c87-b7dc-296fad3a2e76;AM-126;AMANOVA Stick Dental Small & Mini 110Gr (Unidad);Snacks;Snack;110G;2.86;1.71;public/images/productos/AM-126.jpg;;
4ed0d80f-2393-4e96-9f12-6f74f6235207;AM-127;AMANOVA Stick Dental Small & Mini 12X110Gr (Caja 12 Ud);Snacks;Snack;110G;34.32;20.52;public/images/productos/AM-127.jpg;;
a792c0fc-61cf-4d05-9a5f-9f155f312152;AM-128;AMANOVA Wet Adult Beef & Chicken Pouch 100Gr Nº01 (Unidad);Wet line;Alimentación húmeda;100G;1.45;0.92;public/images/productos/AM-128.jpg;;
8871327b-7c9e-411c-b9d2-cd031a747433;AM-129;AMANOVA Wet Adult Beef & Chicken Pouch 100Gr Nº01 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;100G;17.4;11.04;public/images/productos/AM-129.jpg;;
a18f6e26-0921-4fb3-81b9-6771304d1bfc;AM-130;AMANOVA Wet Adult Beef & Chicken Pouch 300Gr Nº01 (Unidad);Wet line;Alimentación húmeda;300G;3.87;2.47;public/images/productos/AM-130.jpg;;
51184712-4aa2-4fb3-8e3c-7e0d01bb622a;AM-131;AMANOVA Wet Adult Beef & Chicken Pouch 300Gr Nº01 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;300G;46.44;29.64;public/images/productos/AM-131.jpg;;
c49426d1-9e60-4404-b061-473b916c05f0;AM-132;AMANOVA Wet Adult Exquis Chicken Pouch 100Gr Nº03 (Unidad);Wet line;Alimentación húmeda;100G;1.45;0.92;public/images/productos/AM-132.jpg;;
940d2306-06a2-4d6a-875e-9975e5a8ee74;AM-133;AMANOVA Wet Adult Exquis Chicken Pouch 100Gr Nº03 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;100G;17.4;11.04;public/images/productos/AM-133.jpg;;
521ea0ae-b22e-4877-ab63-23f2cc64cbab;AM-134;AMANOVA Wet Adult Exquis Chicken Pouch 300Gr Nº03 (Unidad);Wet line;Alimentación húmeda;300G;3.87;2.47;public/images/productos/AM-134.jpg;;
18665ac7-ab76-4bde-acb2-f6ec56555589;AM-135;AMANOVA Wet Adult Exquis Chicken Pouch 300Gr Nº03 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;300G;46.44;29.64;public/images/productos/AM-135.jpg;;
3b0eedf5-dbb7-4a23-9caa-fbcbab89da03;AM-136;AMANOVA Wet Adult Iberian Pork Pouch 100Gr Nº04 (Unidad);Wet line;Alimentación húmeda;100G;1.45;0.92;public/images/productos/AM-136.jpg;;
8d79e732-112d-4dde-bb4b-03c5c88c99ca;AM-137;AMANOVA Wet Adult Iberian Pork Pouch 100Gr Nº04 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;100G;17.4;11.04;public/images/productos/AM-137.jpg;;
dbbfe410-e551-4145-aa58-c107d1eb0093;AM-138;AMANOVA Wet Adult Iberian Pork Pouch 300Gr Nº04 (Unidad);Wet line;Alimentación húmeda;300G;3.87;2.47;public/images/productos/AM-138.jpg;;
3faf78f1-f0de-4bab-b0eb-216778b738e7;AM-139;AMANOVA Wet Adult Iberian Pork Pouch 300Gr Nº04 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;300G;46.44;29.64;public/images/productos/AM-139.jpg;;
e1adaade-6fbf-49ec-81d4-30c26767f79e;AM-140;AMANOVA Wet Adult Irresitib Beef Pouch 100Gr Nº02 (Unidad);Wet line;;100G;1.45;0.92;public/images/productos/AM-140.jpg;;
9dbed87b-d682-43bc-bbb0-c66493847370;AM-141;AMANOVA Wet Adult Irresitib Beef Pouch 100Gr Nº02 12Ud (Caja 12 Ud);Wet line;;100G;17.4;11.04;public/images/productos/AM-141.jpg;;
78943e05-e3c6-44db-acfe-32ab403c745f;AM-142;AMANOVA Wet Adult Irresitib Beef Pouch 300Gr Nº02 (Unidad);Wet line;;300G;3.87;2.47;public/images/productos/AM-142.jpg;;
c7f31fe4-d50f-4bfd-b370-5006ffe220c6;AM-143;AMANOVA Wet Adult Irresitib Beef Pouch 300Gr Nº02 12Ud (Caja 12 Ud);Wet line;;300G;46.44;29.64;public/images/productos/AM-143.jpg;;
ca5febca-3d94-46db-a1f2-dc0790ae91e0;AM-144;AMANOVA Wet Adult Lamb & Pork Pouch 100Gr Nº05 (Unidad);Wet line;Alimentación húmeda;100G;1.45;0.92;public/images/productos/AM-144.jpg;;
2e4446f8-f7ef-4fe6-b561-7693bca6cc77;AM-145;AMANOVA Wet Adult Lamb & Pork Pouch 100Gr Nº05 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;100G;17.4;11.04;public/images/productos/AM-145.jpg;;
306f1af9-80dd-47b4-a911-4586f4fa78f6;AM-146;AMANOVA Wet Adult Lamb & Pork Pouch 300Gr Nº05 (Unidad);Wet line;Alimentación húmeda;300G;3.87;2.47;public/images/productos/AM-146.jpg;;
244fa55c-d401-4de4-af19-e70fd3f5f327;AM-147;AMANOVA Wet Adult Lamb & Pork Pouch 300Gr Nº05 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;300G;46.44;29.64;public/images/productos/AM-147.jpg;;
22780362-ea6f-428e-aa4b-193c314e03d2;AM-148;AMANOVA Wet Adult Lamb&Calabaza Pouch 100Gr Nº15 (Unidad);Wet line;Alimentación húmeda;100G;1.45;0.92;public/images/productos/AM-148.jpg;;
65be4a78-965e-4026-9b75-f7bd3b08dff5;AM-149;AMANOVA Wet Adult Lamb&Calabaza Pouch 100Gr Nº15 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;100G;17.4;11.04;public/images/productos/AM-149.jpg;;
35d65138-ebb0-49e4-adcf-d2eea3da47fd;AM-150;AMANOVA Wet Adult Lamb&Calabaza Pouch 300Gr Nº15 (Unidad);Wet line;Alimentación húmeda;300G;3.87;2.47;public/images/productos/AM-150.jpg;;
b4afc22e-d301-483a-ad04-215005db7d57;AM-151;AMANOVA Wet Adult Lamb&Calabaza Pouch 300Gr Nº15 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;300G;46.44;29.64;public/images/productos/AM-151.jpg;;
035fd493-2bd5-4e59-bfcf-7a0896355b49;AM-152;AMANOVA Wet Adult Salmon&Turkey Pouch 100Gr Nº06 (Unidad);Wet line;Alimentación húmeda;100G;1.45;0.92;public/images/productos/AM-152.jpg;;
0980c6af-6b18-458d-b87a-09542b237906;AM-153;AMANOVA Wet Adult Salmon&Turkey Pouch 100Gr Nº06 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;100G;17.4;11.04;public/images/productos/AM-153.jpg;;
f32e134c-5961-4c00-84f5-fb94d8feacba;AM-154;AMANOVA Wet Adult Salmon&Turkey Pouch 300Gr Nº06 (Unidad);Wet line;Alimentación húmeda;300G;3.87;2.47;public/images/productos/AM-154.jpg;;
c7015522-c1c7-42c8-9174-4ed675684c69;AM-155;AMANOVA Wet Adult Salmon&Turkey Pouch 300Gr Nº06 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;300G;46.44;29.64;public/images/productos/AM-155.jpg;;
04956ee6-fc1b-4468-8375-c3e7a9ab82e3;AM-156;AMANOVA Wet Adult Turkey Delight Pouch 100Gr Nº07 (Unidad);Wet line;Alimentación húmeda;100G;1.45;0.92;public/images/productos/AM-156.jpg;;
51b0b422-ae41-43dc-825c-d25b8d640fc6;AM-157;AMANOVA Wet Adult Turkey Delight Pouch 100Gr Nº07 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;100G;17.4;11.04;public/images/productos/AM-157.jpg;;
9fad9fe9-54db-435c-83fc-26cfa50adfc3;AM-158;AMANOVA Wet Adult Turkey Delight Pouch 300Gr Nº07 (Unidad);Wet line;Alimentación húmeda;300G;3.87;2.47;public/images/productos/AM-158.jpg;;
c80a9cd9-1bbe-4845-9335-362fc56644cd;AM-159;AMANOVA Wet Adult Turkey Delight Pouch 300Gr Nº07 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;300G;46.44;29.64;public/images/productos/AM-159.jpg;;
b02fa237-80b2-403e-b752-67d5fa5282ad;AM-040;AMANOVA Wet Cat Beef & Chicken Pouch 85Gr Nº14 (Unidad);Wet line;Alimentación húmeda;85G;1.45;0.92;public/images/productos/AM-040.jpg;;
83fc3e4a-6e60-427a-8a9b-f121886d9066;AM-041;AMANOVA Wet Cat Beef & Chicken Pouch 85Gr Nº14 12Ud (Caja 12 Ud);Wet line;Alimentación húmeda;85G;17.4;11.04;public/images/productos/AM-041.jpg;;
c36c6e62-415c-4c0b-984c-78ef7e849f37;AM-042;AMANOVA Wet Cat Chicken & Cheese Broth 70Gr Nº02 (Unidad);Wet line;Alimentación húmeda;70G;1.45;0.92;public/images/productos/AM-042.jpg;;
73216950-cc9d-4b9c-9608-83481d6f47ad;AM-043;AMANOVA Wet Cat Chicken & Cheese Broth 70Gr Nº02 24Ud (Caja 24 Ud);Wet line;Alimentación húmeda;70G;34.8;22.08;public/images/productos/AM-043.jpg;;
779069f7-3886-4bc1-9eb1-6830abcca2d2;AM-044;AMANOVA Wet Cat Chicken & Gambas Jelly 70Gr Nº06 (Unidad);Wet line;Alimentación húmeda;70G;1.45;0.92;public/images/productos/AM-044.jpg;;
41facf52-0fc0-4c3c-89d3-9484db987bc4;AM-045;AMANOVA Wet Cat Chicken & Gambas Jelly 70Gr Nº06 24Ud (Caja 24 Ud);Wet line;Alimentación húmeda;70G;34.8;22.08;public/images/productos/AM-045.jpg;;
290ca106-66fd-4b40-8d5b-52937565f998;AM-046;AMANOVA Wet Cat Chicken & Tuna Broth 70Gr Nº05 (Unidad);Wet line;Alimentación húmeda;70G;1.45;0.92;public/images/productos/AM-046.jpg;;
73240c2f-fa07-4159-97dd-a34eb0c3dbb0;AM-047;AMANOVA Wet Cat Chicken & Tuna Broth 70Gr Nº05 24Ud (Caja 24 Ud);Wet line;Alimentación húmeda;70G;34.8;22.08;public/images/productos/AM-047.jpg;;
02f8050b-5464-437e-b7a4-836d8370a456;AM-048;AMANOVA Wet Cat Chicken Fillets Broth 70Gr Nº01 (Unidad);Wet line;Alimentación húmeda;70G;1.45;0.92;public/images/productos/AM-048.jpg;;
